category,id,displayName,prompt
imagination,NA-FLUX-Classic Disney Animation,"NA-FLUX-Classic Disney Animation","Timeless, hand-drawn aesthetic of early Disney films. Soft, rounded forms with fluid, graceful movements. Expressive characters with exaggerated features and emotive eyes. Lush, painted backgrounds with attention to detail. Warm, vibrant color palette with careful use of shadow and light. Whimsical animal sidekicks and enchanted objects. Inspired by Snow White, Cinderella, and The Little Mermaid. Atmosphere of wonder, magic, and heartwarming storytelling."
imagination,NA-FLUX-Cartoon Network 90s,"NA-FLUX-Cartoon Network 90s","Bold, quirky designs with a mix of simple and complex elements. Thick, black outlines and flat color fills. Exaggerated proportions and dynamic, often absurdist poses. Bright, saturated colors with occasional pastel backgrounds. Blend of different animation techniques, including limited animation. Inspired by Dexter's Laboratory, The Powerpuff Girls, and Courage the Cowardly Dog. Atmosphere of zany humor, pop culture references, and subtle adult themes."
imagination,NA-FLUX-Anime Shonen,"NA-FLUX-Anime Shonen","Dynamic, action-packed scenes with a focus on young male protagonists. Spiky hair and large, expressive eyes. Speed lines and impact frames to convey motion. Detailed backgrounds during key moments, simplified for action scenes. Bold color choices with dramatic lighting effects. Frequent use of visual metaphors and symbols. Inspired by Dragon Ball Z, Naruto, and My Hero Academia. Atmosphere of epic battles, friendship, and personal growth."
imagination,NA-FLUX-Pixar 3D Animation,"NA-FLUX-Pixar 3D Animation","Hyper-realistic textures combined with stylized, appealing character designs. Expressive, squash-and-stretch animation principles applied to 3D models. Attention to fine details like hair, fur, and fabric simulation. Vibrant, carefully crafted color palettes for each unique world. Emotional storytelling through subtle facial expressions and body language. Inspired by Toy Story, Up, and Inside Out. Atmosphere of heartfelt emotion, humor, and universal themes."
imagination,NA-FLUX-Retro UPA Cartoons,"NA-FLUX-Retro UPA Cartoons","Minimalist, graphic design-influenced animation from the 1950s-60s. Limited animation with stylized, geometric shapes. Flat color backgrounds with abstract patterns and textures. Characters with simple, often asymmetrical designs. Bold, modernist color palettes with high contrast. Jazzy, contemporary music and sophisticated humor. Inspired by Mr. Magoo, Gerald McBoing-Boing, and mid-century modern art. Atmosphere of urban sophistication and artistic experimentation."
imagination,NA-FLUX-16-Bit RPG Nostalgia,"NA-FLUX-16-Bit RPG Nostalgia","Pixelated graphics reminiscent of classic SNES-era role-playing games. Charming, super-deformed character sprites with exaggerated features. Detailed, colorful backgrounds with limited palette constraints. Top-down or isometric perspective for exploration scenes. Side-view battle screens with elaborate monster designs. Inspired by Final Fantasy VI, Chrono Trigger, and Secret of Mana. Atmosphere of epic adventures, turn-based combat, and emotional storytelling within technical limitations."
imagination,NA-FLUX-Cel-Shaded Action,"NA-FLUX-Cel-Shaded Action","Bold, comic book-inspired 3D graphics with flat colors and black outlines. Exaggerated character proportions and dynamic action poses. Vibrant color palette with high contrast for dramatic effect. Simplified textures focusing on strong shapes and silhouettes. Stylized special effects for impacts, explosions, and energy attacks. Inspired by games like Borderlands, The Legend of Zelda: Wind Waker, and Jet Set Radio. Atmosphere of larger-than-life action and stylish visual flair."
imagination,NA-FLUX-Hyper-Realistic FPS,"NA-FLUX-Hyper-Realistic FPS","Ultra-detailed, photorealistic 3D graphics pushing the limits of current technology. Meticulously crafted environments with advanced lighting and shadow effects. Highly detailed character models with lifelike skin textures and clothing materials. Particle effects for smoke, dust, and debris. Motion blur and depth of field to enhance immersion. Inspired by games like Battlefield, Call of Duty, and Crysis. Atmosphere of gritty realism and intense, cinematic action."
imagination,NA-FLUX-Indie Atmospheric Platformer,"NA-FLUX-Indie Atmospheric Platformer","Moody, artistic 2D graphics with a focus on creating a unique visual atmosphere. Silhouetted characters against richly detailed, painterly backgrounds. Subtle use of parallax scrolling for depth. Minimalist UI elements integrated seamlessly into the game world. Ethereal lighting effects and particle systems. Inspired by games like Limbo, Ori and the Blind Forest, and Gris. Atmosphere of emotional storytelling through visuals and environmental puzzles."
imagination,NA-FLUX-Retro Voxel Sandbox,"NA-FLUX-Retro Voxel Sandbox","Blocky, 3D pixel art reminiscent of early polygon graphics. Chunky, cube-based environments with simple textures. Bright, saturated colors with limited shading. Charming, low-poly character designs with minimal animations. Procedurally generated landscapes and structures. Inspired by Minecraft, Trove, and classic construction games. Atmosphere of endless creativity, exploration, and building within a nostalgic, low-fi aesthetic."
imagination,NA-FLUX-Cyberpunk Neon Dystopia,"NA-FLUX-Cyberpunk Neon Dystopia","Futuristic cityscapes bathed in the glow of neon lights and holographic billboards. Rain-soaked streets reflecting a kaleidoscope of colors. High-tech, low-life aesthetic with cyborgs and AI. Contrast between sleek corporate towers and gritty street-level scenes. Inspired by ""Blade Runner"" and ""The Matrix"". Atmosphere of technological wonder mixed with urban decay and societal unrest."
imagination,NA-FLUX-Kubrickian Symmetry,"NA-FLUX-Kubrickian Symmetry","Perfectly symmetrical compositions with strong vanishing points. Cold, clinical color palettes with occasional bursts of vivid color. Wide-angle lenses creating a sense of unease and distortion. Tracking shots down long corridors or expansive spaces. Characters dwarfed by their environments. Inspired by Stanley Kubrick's works like ""2001: A Space Odyssey"" and ""The Shining"". Atmosphere of isolation, existential dread, and cosmic insignificance."
imagination,NA-FLUX-Tarantino Pulp,"NA-FLUX-Tarantino Pulp","Vibrant, saturated colors with a slightly retro feel. Dynamic camera movements including trunk shots and circular pans. Close-ups on unusual details like feet or food. Eclectic soundtrack mixing different eras and genres. Witty, pop-culture-laden dialogue often in non-linear narratives. Inspired by Quentin Tarantino's films like ""Pulp Fiction"" and ""Kill Bill"". Atmosphere of stylized violence, dark humor, and pop culture nostalgia."
imagination,NA-FLUX-Cinematic Street Photography,"NA-FLUX-Cinematic Street Photography","Moody urban scenes with dramatic lighting and shadows. High contrast images emphasizing light and dark interplay. Candid moments frozen in time, capturing the essence of city life. Reflections in puddles, windows, and metallic surfaces. Use of leading lines and framing elements to guide the eye. Inspired by the work of Fan Ho and Saul Leiter. Atmosphere of mystery, isolation, and fleeting beauty in the urban jungle."
imagination,NA-FLUX-Ethereal Fashion Editorial,"NA-FLUX-Ethereal Fashion Editorial","Dreamy, soft-focus imagery with a pastel color palette. Models posed in flowing, diaphanous fabrics against surreal backdrops. Delicate use of natural light and lens flares. Experimental makeup and hairstyles pushing artistic boundaries. Integration of natural elements like flowers, feathers, or mist. Inspired by Tim Walker and Paolo Roversi. Atmosphere of fantasy, whimsy, and haute couture artistry."
imagination,NA-FLUX-Minimalist Still Life,"NA-FLUX-Minimalist Still Life","Clean, uncluttered compositions focusing on shape, form, and negative space. Muted color palettes or monochromatic schemes. Sharp focus on carefully arranged objects against plain backgrounds. Play with shadows and highlights to create depth. Emphasis on geometric patterns and symmetry. Inspired by the work of Irving Penn and Josef Sudek. Atmosphere of calm, simplicity, and contemplative beauty."
imagination,NA-FLUX-Gritty Photojournalism,"NA-FLUX-Gritty Photojournalism","Raw, unfiltered scenes capturing real-life moments and social issues. High-contrast black and white or desaturated color palettes. Use of wide-angle lenses for environmental context. Grainy film-like texture adding to the sense of immediacy. Candid expressions and unposed subjects in their natural environments. Inspired by the work of Sebastião Salgado and James Nachtwey. Atmosphere of authenticity, emotional impact, and social commentary."
imagination,NA-FLUX-Surrealist Composite,"NA-FLUX-Surrealist Composite","Dreamlike images combining multiple photographs into impossible scenes. Seamless blending of disparate elements creating visual paradoxes. Manipulation of scale and perspective to disorient the viewer. Rich, saturated colors or ethereal, muted tones depending on the mood. Integration of human figures with natural or architectural elements in unexpected ways. Inspired by Jerry Uelsmann and Erik Johansson. Atmosphere of wonder, psychological depth, and reality-bending imagination."
imagination,NA-FLUX-Chiaroscuro Elegance,"NA-FLUX-Chiaroscuro Elegance","Dramatic, high-contrast lighting emphasizing the interplay of light and shadow on the face. Deep, rich blacks contrasting with luminous highlights. Single-source lighting, often from the side, to sculpt facial features. Minimal backgrounds, focusing attention solely on the subject. Inspired by Rembrandt's paintings and classic Hollywood glamour shots. Atmosphere of mystery, depth, and timeless sophistication."
imagination,NA-FLUX-Environmental Character Study,"NA-FLUX-Environmental Character Study","Subjects captured in their natural habitats or workspaces. Wide-angle shots incorporating meaningful elements of the environment. Soft, natural lighting emphasizing authenticity over perfection. Candid expressions and poses that reveal personality. Rich, slightly desaturated color palette for a documentary feel. Inspired by the work of Annie Leibovitz and Steve McCurry. Atmosphere of intimacy, storytelling, and connection to place."
imagination,NA-FLUX-High-Fashion Avant-Garde,"NA-FLUX-High-Fashion Avant-Garde","Bold, experimental compositions pushing the boundaries of traditional portraiture. Unconventional makeup, hairstyles, and fashion choices. Vibrant, often clashing color palettes or stark monochromatic schemes. Use of props, textures, and unexpected backgrounds. Exaggerated poses and expressions bordering on the theatrical. Inspired by the work of David LaChapelle and Nick Knight. Atmosphere of provocative artistry, cultural commentary, and fashion as self-expression."
imagination,NA-FLUX-Ethereal Natural Light,"NA-FLUX-Ethereal Natural Light","Soft, dreamy portraits bathed in gentle, diffused light. Shallow depth of field creating a painterly, out-of-focus background. Pastel color palettes with an emphasis on warm, golden hour tones. Delicate capture of skin texture and subtle expressions. Often shot outdoors or near large windows. Inspired by the work of Sue Bryce and Elizabeth Messina. Atmosphere of romance, innocence, and timeless beauty."
imagination,NA-FLUX-Gritty Street Portrait,"NA-FLUX-Gritty Street Portrait","Raw, unfiltered close-ups capturing the essence of urban characters. High-contrast, often black and white images emphasizing texture and expression. Use of available light and shadows from the urban environment. Direct, unflinching gazes that confront the viewer. Inclusion of environmental elements that hint at the subject's story. Inspired by the work of Bruce Gilden and Diane Arbus. Atmosphere of authenticity, social realism, and the beauty in imperfection."
imagination,NA-FLUX-Vibrant Impressionist Oils,"NA-FLUX-Vibrant Impressionist Oils","Bold, visible brushstrokes capturing the essence of light and color. Thick impasto technique creating texture and depth. Vivid, pure colors applied in short dabs and strokes. Emphasis on the play of light and shadow, often with purple shadows. Loose, spontaneous feel with a focus on atmosphere over detail. Inspired by the works of Claude Monet and Pierre-Auguste Renoir. Atmosphere of fleeting moments, outdoor scenes, and sensory impressions."
imagination,NA-FLUX-Ethereal Watercolor Wash,"NA-FLUX-Ethereal Watercolor Wash","Soft, translucent layers of pigment creating subtle gradations. Wet-on-wet technique for blended, atmospheric effects. Delicate linework and intentional white space. Emphasis on light, airy compositions with a focus on negative space. Gentle color bleeds and granulation adding texture. Inspired by the works of J.M.W. Turner and Alvaro Castagnet. Atmosphere of dreamy landscapes, misty mornings, and ephemeral beauty."
imagination,NA-FLUX-Dynamic Acrylic Pour,"NA-FLUX-Dynamic Acrylic Pour","Fluid, abstract compositions created by pouring and manipulating liquid paint. Swirling patterns and cell-like formations of vibrant colors. Glossy, smooth surfaces with intricate details and unexpected color combinations. Organic shapes and flowing lines reminiscent of natural phenomena. Inspired by the works of contemporary pour artists like Emma Lindström. Atmosphere of cosmic wonder, psychedelic visions, and the unpredictability of fluid dynamics."
imagination,NA-FLUX-Textured Palette Knife,"NA-FLUX-Textured Palette Knife","Bold, sculptural application of paint creating rich textures and depth. Thick, impasto strokes layered to build up the image. Strong contrast between smooth and rough areas. Emphasis on form and shape rather than fine detail. Often uses a limited color palette for dramatic effect. Inspired by the works of Leonid Afremov and Françoise Nielly. Atmosphere of energy, emotion, and tactile sensations."
imagination,NA-FLUX-Delicate Colored Pencil Realism,"NA-FLUX-Delicate Colored Pencil Realism","Highly detailed, photorealistic renderings using layered colored pencil techniques. Smooth color transitions and subtle blending for a painterly effect. Fine linework and stippling to create intricate textures. Emphasis on capturing minute details and subtle color variations. Often features nature subjects or still life compositions. Inspired by the works of Cynthia Knox and Karla Mialynne. Atmosphere of patience, precision, and the beauty in everyday objects."
imagination,NA-FLUX-Hyper-Realistic CG Render,"NA-FLUX-Hyper-Realistic CG Render","Photo-realistic 3D modeling with incredible attention to detail. Advanced lighting techniques including global illumination and ray tracing. Complex textures and materials with accurate reflections and refractions. Depth of field and motion blur for cinematic effect. Often features impossible or fantastical scenes made to look real. Inspired by works seen in high-end visual effects and animated films. Atmosphere of technological mastery and blurred lines between reality and digital creation."
imagination,NA-FLUX-Vintage Comic Book,"NA-FLUX-Vintage Comic Book","Bold, black outlines with flat color fills. Halftone dot patterns for shading and color gradients. Dynamic action poses and exaggerated expressions. Use of speed lines and impact stars for movement and emphasis. Text boxes and thought bubbles integrated into the composition. Inspired by classic superhero comics of the 1960s and 70s. Atmosphere of heroic adventures, dramatic confrontations, and larger-than-life characters."
imagination,NA-FLUX-Retro Pixel Art,"NA-FLUX-Retro Pixel Art","Deliberately low-resolution imagery reminiscent of early video games. Limited color palettes using bright, saturated hues. Chunky, blocky forms with visible individual pixels. Creative use of dithering for shading and texture. Often features isometric perspectives or side-scrolling layouts. Inspired by 8-bit and 16-bit era games and modern indie pixel art. Atmosphere of nostalgia, simplicity, and creative constraint."
imagination,NA-FLUX-Classic Shonen Manga,"NA-FLUX-Classic Shonen Manga","Bold, dynamic linework with heavy use of speed lines and impact frames. Exaggerated facial expressions and dramatic poses. Highly detailed action scenes contrasted with simplified backgrounds. Use of screen tones for shading and special effects. Often features spiky-haired protagonists and epic battles. Inspired by works like ""Dragon Ball"" and ""Naruto"". Atmosphere of high-energy action, friendship, and overcoming impossible odds."
imagination,NA-FLUX-Soft Shojo Aesthetics,"NA-FLUX-Soft Shojo Aesthetics","Delicate, flowing linework with an emphasis on beauty and emotion. Large, sparkling eyes and small, pointed chins on characters. Soft, pastel color palettes with occasional flourishes of flowers or sparkles. Focus on character relationships and internal emotional states. Often features school settings or romantic scenarios. Inspired by works like ""Fruits Basket"" and ""Ouran High School Host Club"". Atmosphere of young love, personal growth, and gentle humor."
imagination,NA-FLUX-Cyberpunk Neo-Tokyo,"NA-FLUX-Cyberpunk Neo-Tokyo","Gritty, detailed cityscapes bathed in neon lights and holographic billboards. Fusion of high-tech and traditional Japanese elements. Characters often featuring cybernetic enhancements or in futuristic gear. High contrast lighting with deep shadows and vibrant highlights. Complex mechanical designs and intricate technological details. Inspired by works like ""Akira"" and ""Ghost in the Shell"". Atmosphere of technological dystopia, social unrest, and human-machine interface."
imagination,NA-FLUX-Ethereal Ghibli-esque,"NA-FLUX-Ethereal Ghibli-esque","Soft, painterly backgrounds with attention to natural details. Simplified, expressive character designs with a focus on fluid movement. Whimsical elements and magical realism integrated into everyday scenes. Gentle color palettes emphasizing greens, blues, and earthy tones. Often features themes of nature, childhood, and the spirit world. Inspired by Studio Ghibli films like ""My Neighbor Totoro"" and ""Spirited Away"". Atmosphere of wonder, environmental consciousness, and the magic in the mundane."
imagination,NA-FLUX-Dark Gothic Horror Manga,"NA-FLUX-Dark Gothic Horror Manga","Heavy use of black ink and negative space for ominous atmosphere. Intricate, often grotesque monster designs and body horror elements. Sharp contrasts between light and shadow for dramatic effect. Detailed crosshatching and stippling for texture and depth. Often features psychological horror and supernatural themes. Inspired by works like ""Berserk"" and ""Junji Ito's"" creations. Atmosphere of dread, psychological unease, and confrontation with the unknown."
imagination,NA-FLUX-Dynamic Digital Concept Art,"NA-FLUX-Dynamic Digital Concept Art","Bold, cinematic compositions with a focus on mood and atmosphere. Combination of photo-realistic elements with imaginative designs. Strong use of perspective and dramatic lighting effects. Often features futuristic or fantasy environments and characters. Inspired by the work of concept artists in the film and gaming industries. Atmosphere of world-building, visual storytelling, and the merging of reality and imagination."
imagination,NA-FLUX-Classic Graphite Pencil Sketch,"NA-FLUX-Classic Graphite Pencil Sketch","Refined linework with varying pressure for depth and dimension. Subtle shading techniques including hatching, cross-hatching, and stippling. Emphasis on light and shadow to create form and volume. Careful attention to proportion and perspective. Often features still life, portraits, or architectural subjects. Inspired by masters like Leonardo da Vinci and contemporary realist artists. Atmosphere of timeless elegance, precision, and the beauty of monochrome simplicity."
imagination,NA-FLUX-Traditional Oil Painting,"NA-FLUX-Traditional Oil Painting","Rich, layered application of oil paints for depth and luminosity. Use of glazing techniques for subtle color effects and atmosphere. Attention to light, shadow, and color temperature. Often features landscapes, portraits, or still life compositions. Blending of colors directly on the canvas for smooth transitions. Inspired by Old Masters and contemporary realist painters. Atmosphere of classical beauty, depth, and the timeless quality of oil on canvas."
imagination,NA-FLUX-Expressive Watercolor Wash,"NA-FLUX-Expressive Watercolor Wash","Fluid, transparent layers of watercolor pigments. Wet-on-wet technique for soft edges and color blending. Use of white space and paper texture as part of the composition. Often features landscapes, floral subjects, or atmospheric scenes. Emphasis on spontaneity and the unpredictable nature of water and pigment. Inspired by artists like J.M.W. Turner and contemporary watercolorists. Atmosphere of lightness, freshness, and the delicate interplay of water and color."
imagination,NA-FLUX-Dynamic Charcoal Drawing,"NA-FLUX-Dynamic Charcoal Drawing","Bold, expressive strokes with varying pressure and thickness. Use of erasers and blending tools for atmospheric effects. High contrast between deep blacks and bright highlights. Often features figure studies, dramatic portraits, or moody landscapes. Emphasis on gesture, movement, and emotional impact. Inspired by artists like Käthe Kollwitz and contemporary figurative artists. Atmosphere of raw energy, depth, and the power of monochromatic expression."
imagination,NA-FLUX-Precise Ink Linework,"NA-FLUX-Precise Ink Linework","Clean, confident lines with varying thickness for emphasis. Use of cross-hatching and stippling for shading and texture. High level of detail and precision in rendering forms. Often features architectural subjects, intricate patterns, or detailed illustrations. Emphasis on clarity, structure, and the power of black and white. Inspired by artists like Albrecht Dürer and contemporary pen and ink illustrators. Atmosphere of clarity, intricacy, and the timeless appeal of black ink on paper."
