name,prompt
"Harlem Renaissance Art","dynamic, dramatic, 1920s African American culture, Harlem Renaissance art style"
"High Fashion","dynamic, dramatic, haute couture, elegant, ornate clothing, High Fashion"
"Idyllic","peaceful, happy, pleasant, happy, harmonious, picturesque, charming"
"Impressionism","painterly, small brushstrokes, visible brushstrokes, impressionistic style"
"Infographic Drawing","diagram, infographic"
"Ink Dripping Drawing","ink drawing, dripping ink"
"Japanese Ink Drawing","ink drawing, inkwash, Japanese Ink Drawing"
"Knolling Photography","flat lay photography, object arrangment, knolling photography"
"Light Cheery Atmosphere","happy, joyful, cheerful, carefree, gleeful, lighthearted, pleasant atmosphere"
"Logo Design","dynamic graphic art, vector art, minimalist, professional logo design"
"Luxurious Elegance","extravagant, ornate, designer, opulent, picturesque, lavish"
"Macro Photography","close-up, macro 100mm, macro photography"
"Mandola Art","complex, circular design, mandola"
"Marker Drawing","bold marker lines, visibile paper texture, marker drawing"
"Medievalism","inspired by The Middle Ages, medieval art, elaborate patterns and decoration, Medievalism"
"Minimalism","abstract, simple geometic shapes, hard edges, sleek contours, Minimalism"
"Neo-Baroque","ornate and elaborate, dynaimc, Neo-Baroque"
"Neo-Byzantine","grand decorative religious style, Orthodox Christian inspired, Neo-Byzantine"
"Neo-Futurism","high-tech, curves, spirals, flowing lines, idealistic future, Neo-Futurism"
"Neo-Impressionism","tiny dabs of color, Pointillism, painterly, Neo-Impressionism"
"Neo-Rococo","curved forms, naturalistic ornamentation, elaborate, decorative, gaudy, Neo-Rococo"
"Neoclassicism","ancient Rome and Greece inspired, idealic, sober colors, Neoclassicism"
"Op Art","optical illusion, abstract, geometric pattern, impression of movement, Op Art"
"Ornate and Intricate","decorative, highly detailed, elaborate, ornate, intricate"
"Pencil Sketch Drawing","black and white drawing, graphite drawing"
"Pop Art 2","vivid colors, flat color, 2D, strong lines, Pop Art"
"Rococo","flamboyant, pastel colors, curved lines, elaborate detail, Rococo"
"Silhouette Art","high contrast, well defined, Silhouette Art"
"Simple Vector Art","2D flat, simple shapes, minimalistic, professional graphic, flat color, high contrast, Simple Vector Art"
"Sketchup","CAD, professional design, Sketchup"
"Steampunk 2","retrofuturistic science fantasy, steam-powered tech, vintage industry, gears, neo-victorian, steampunk"
"Surrealism","expressive, dramatic, organic lines and forms, dreamlike and mysterious, Surrealism"
"Suprematism","abstract, limited color palette, geometric forms, Suprematism"
"Terragen","beautiful massive landscape, epic scenery, Terragen"
"Tranquil Relaxing Atmosphere","calming style, soothing colors, peaceful, idealic, Tranquil Relaxing Atmosphere"
"Sticker Designs","Vector Art Stickers, , professional vector design, sticker designs, Sticker Sheet"
"Vibrant Rim Light","bright rim light, high contrast, bold edge light"
"Volumetric Lighting","light depth, dramatic atmospheric lighting, Volumetric Lighting"
"Watercolor","visible paper texture, colorwash, watercolor"
"Whimsical and Playful","imaginative, fantastical, bight colors, stylized, happy, Whimsical and Playful"
